OID_,source_ID,Lat_NAD83,Long_NAD83,dep_id,mrds_id,mas_id,site_name,names
34,MRDS_35,46.185483527400002,-113.089797118000007,10172922, ,0300230044,Bresnahan & Fenner Prospect, 
35,MRDS_36,45.520993562000001,-112.835987299999999,10055833,SP00032,0300010616,Browns Lake  mine (Ivanhoe mine),"Ivanhoe, Lost Creek, Lentung, Browns Lake Mine"
36,MRDS_37,44.325593832000003,-114.562187175000005,10096316,W014329,160370016,Buckskin Claims,Roosevelt Claims
37,MRDS_38,46.221283522500002,-113.074197114000000,10294009, ,0300230121,Bull Elk, 
38,MRDS_39,46.706593421900003,-112.483087138000002,10173121, ,0300490348,Bunblebee,"Whirlwind, Shoestring"
39,MRDS_40,46.643463728100002,-115.512676537000004,10216497, ,0160350162,Bungalow, 
40,MRDS_41,46.012993473400002,-112.378067299999998,10294903, ,0300430555,Butte Tungsten, 
41,MRDS_42,46.199883538000002,-113.217287088999996,10069752,W007423, ,Cable Mine, 
42,MRDS_43,46.172083542599999,-113.235597091000002,10269724, ,0300230034,Calcabe Prospect, 
43,MRDS_44,45.848213562799998,-113.152277171999998,10008784,D001166, ,Calvert mine (Red Buttons),Calvert Tungsten Mine
44,MRDS_45,46.166783538700003,-113.197597099000006,10294128, ,0300230120,Campbell Prospect, 
45,MRDS_46,45.654603561499997,-112.956447249999997,10010817,D004802, ,Cannivan Gulch deposit, 
46,MRDS_47,46.189603528399999,-113.110617112000000,10019069,DC08477, ,Carbonator Prospect, 
47,MRDS_48,46.104283551400002,-113.271497096999994,10173087, ,0300230032,Ceto Prospect, 
48,MRDS_49,45.245463858000001,-115.680356787999997,10105743,W014998,0160490733,Charity Mine, 
49,MRDS_50,44.584573865499998,-115.169237011000007,10120223, ,0160370030,Chuck Creek, 
50,MRDS_51,46.218213527800003,-113.130067103000002,10019433,DC10043, ,Cliff  Prospect, 
51,MRDS_52,46.533223406499999,-112.167537238999998,10008780,D001157, ,Colorado Gulch Deposits, 
52,MRDS_53,46.460983533799997,-113.400306998000005,10294648,D001154,0300390327,Black Pine (Combination) Mine, 
53,MRDS_54,44.534193731800002,-113.686387311000004,10096411,W015862, ,Compton Claims, 
54,MRDS_55,46.688223428299999,-112.531447130999993,10094457,D007812, ,Coon's Tungsten, 
55,MRDS_56,44.834273859800000,-115.335946931999999,10290978,W014005,0160850306,Copper Mt. Prospect,"Mary Kate, Idaho Primitive Area."
56,MRDS_57,46.403183538000000,-113.400607008999998,10294904, ,0300390417,Copper Queen Group, 
57,MRDS_58,46.384083509400000,-113.085597078000006,10123938, ,0300390035,Copper Ridge, 
58,MRDS_59,46.869603445400003,-112.867567023000007,10098042,DC08615, ,Corbin Mine, 
59,MRDS_60,45.582693476499998,-111.991647463999996,10246079,DC12014,0300570106,Crown Point Claims,Beaverhead National Forest
60,MRDS_61,46.482103526300001,-113.342017006000006,10019263,DC09340, ,Deer Hunter, 
61,MRDS_62,46.395163508099998,-113.080897077000003,10013618,D010015, ,Deerlodge Basin Prospect, 
62,MRDS_63,45.575453476400000,-111.975847469000001,10019944,DC12012,0300570107,Demos Group,"Margie, Roger, Lucky Joe, Rockefeller, Independent"
63,MRDS_64,45.823193498499997,-112.455567321000004,10270010, ,0300930098,Denny Prospect, 
64,MRDS_65,46.314693377799998,-111.662487390999999,10071357,W014695, ,Diamond Hill Mine,"North Zone, Glory Hill Zone"
65,MRDS_66,46.454883531999997,-113.384237002999996,10019264,DC09342, ,Double Eagle, 
66,MRDS_67,46.454583531399997,-113.372007005000000,10173159, ,0300390072,Eagle & Double Eagle, 
67,MRDS_68,45.322103599499997,-113.037547296000000,10010760,D004717, ,Echo Lode, 
68,MRDS_69,45.241583667999997,-113.685597181000006,10291042, ,0160590885,Eldorado Mine, 
69,MRDS_70,45.488783585100002,-113.046187262999993,10196647,W013444,0300010035,Elkhorn Mine,"Elkhorn, Old Elkhorn, Elkhorn Mill Mine"
70,MRDS_71,44.894873865800001,-115.459046896999993,10145062, ,0160850009,Emma Group, 
71,MRDS_72,46.649893406799997,-112.272277193999997,10148658, ,0300490301,Evans-Jones Placer, 
72,MRDS_73,46.367683508900001,-113.065097085999994,10197024, ,0300390451,Finley Basin Prospect,No Claims
73,MRDS_74,46.679613423600003,-112.471167145999999,10019366,DC09697, ,Flagstaff Mine, 
74,MRDS_75,44.250683840500002,-114.583407184999999,10071187,W014437,0160370191,Flintstone Group, 
75,MRDS_76,45.529063563000001,-112.856437294000003,10010838,D004832, ,Fluorescent Claims,"Star Claims, Mammoth Adit"
76,MRDS_77,45.818213563000000,-113.129497181999994,10019525,DC10748, ,Fool Hen Property,Foolhen
77,MRDS_78,45.122973837700002,-115.362646871999999,10134515, ,0160850627,Fourth of July Mine, 
