ms_uri,GroupID
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__aganozero-ni-bearing-serpentinite,GROUP182
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__monchegorsk-sophuaivench,GROUP183
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__pana-eastern,GROUP184
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__monchegorsk-nkt,GROUP185
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__kingash-kuyovsky,GROUP186
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__kingash-kingashsky,GROUP187
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__juzhno-konzhozero,GROUP188
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__rybozerskoe,GROUP189
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__yunges,GROUP190
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__kingash-verkhnekingashsky,GROUP191
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__fedorova-tundra,GROUP192
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__zapadno-rybozero,GROUP193
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__khikhnajarvi,GROUP194
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__monchegorsk-njudaivench,GROUP195
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__laukku,GROUP196
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__lovnozerskoe,GROUP197
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__monchegorsk-sopcha-lodes,GROUP198
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__kumbuksinskoe,GROUP199
